ParName   Value   Gradient
mean_log_rec       13.731 -2.72535e-007
log_Rzero      13.7916 2.45877e-008
rec_dev(-10)   -0.0928358 4.43056e-007
rec_dev(-9)   -0.0573926 9.58072e-008
rec_dev(-8)    0.0790643 4.91718e-008
rec_dev(-7)    0.0334706 9.33279e-008
rec_dev(-6)     -0.20342 1.27433e-007
rec_dev(-5)    0.0379654 8.35075e-008
rec_dev(-4)   -0.0997421 2.31238e-007
rec_dev(-3)    0.0114756 1.93855e-007
rec_dev(-2)   -0.0128714 1.85075e-007
rec_dev(-1)     0.220091 -2.76622e-007
rec_dev(0)    0.0751396 -1.4558e-007
rec_dev(1)     0.119971 -1.91646e-007
rec_dev(2)     0.256122 -8.32501e-008
rec_dev(3)   -0.0225972 4.42756e-007
rec_dev(4)    -0.109373 5.73663e-007
rec_dev(5)     0.377339 -6.5001e-007
rec_dev(6)     0.280449 -5.64427e-007
rec_dev(7)   -0.0160234 2.53588e-007
rec_dev(8)     0.185452 -1.78399e-007
rec_dev(9)    -0.018465 8.42433e-008
rec_dev(10)     0.179306 -2.41151e-007
rec_dev(11)     0.118893 -1.73559e-007
rec_dev(12)   -0.0467024 -3.90174e-007
rec_dev(13)   -0.0861097 -6.99465e-007
rec_dev(14)    0.0645716 -1.30157e-006
rec_dev(15)   -0.0845281 -1.81675e-006
rec_dev(16)      0.12179 -2.52766e-006
rec_dev(17)     0.128747 -2.74979e-006
rec_dev(18)    -0.277341 -4.15449e-006
rec_dev(19)   -0.0804548 -3.62046e-006
rec_dev(20)    -0.334848 -5.30362e-006
rec_dev(21)  -0.00996494 -2.68586e-006
rec_dev(22)   0.00439714 -1.05911e-006
rec_dev(23)    -0.297696 -3.00348e-007
rec_dev(24)    -0.394164 -7.56712e-007
rec_dev(25)    -0.101018 3.34135e-006
rec_dev(26)    -0.416166 6.11572e-006
rec_dev(27)    -0.363263 5.28082e-006
rec_dev(28)    -0.188793 3.29835e-006
rec_dev(29)   -0.0424165 2.57508e-006
rec_dev(30)     -0.33356   4.264e-007
fmort(1,1)   0.00955248 2.28717e-006
fmort(1,2)    0.0275614 -1.26333e-006
fmort(1,3)    0.0458986 -4.03963e-007
fmort(1,4)    0.0621357 -1.08507e-007
fmort(1,5)    0.0495749  2.5604e-007
fmort(1,6)    0.0900372 5.28333e-007
fmort(1,7)    0.0910418  8.8396e-007
fmort(1,8)     0.191991 -1.12529e-007
fmort(1,9)     0.112773 2.53088e-007
fmort(1,10)     0.138309 1.20372e-008
fmort(1,11)     0.158157 -2.11699e-007
fmort(1,12)     0.169152 4.37482e-008
fmort(1,13)     0.122216 -7.39643e-008
fmort(1,14)     0.176789 5.74313e-007
fmort(1,15)     0.189405 8.87843e-007
fmort(1,16)     0.169638 1.25125e-006
fmort(1,17)     0.329657  9.6018e-007
fmort(1,18)     0.271573 7.51039e-007
fmort(1,19)      0.26711 3.93878e-007
fmort(1,20)     0.263814 4.60233e-007
fmort(1,21)     0.363156 5.69971e-007
fmort(1,22)     0.263098 6.27735e-008
fmort(1,23)     0.434992 -3.1107e-007
fmort(1,24)      0.36827 -1.07102e-006
fmort(1,25)     0.364608 -1.63958e-006
fmort(1,26)     0.337433 -1.75312e-006
fmort(1,27)     0.333782 -1.14621e-006
fmort(1,28)     0.464497 -6.90626e-007
fmort(1,29)     0.354017 9.73277e-007
fmort(1,30)      0.55203 1.61062e-006
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8307 -1.04502e-008
repl_F     0.134066 -2.31967e-008
