ParName   Value   Gradient
SR_parm[1]      6.90868 -0.000118943
recdev_early(-11)   -0.0566601 -3.67444e-005
recdev_early(-10)   -0.0466152 -1.10655e-005
recdev_early(-9)     0.175195 -1.39536e-005
recdev_early(-8)      0.06419 -1.46267e-005
recdev_early(-7)   0.00285243 -1.27066e-005
recdev_early(-6)   -0.0266392 -1.66818e-005
recdev_early(-5)   -0.0634895 -1.42172e-005
recdev_early(-4)     -0.12054 -1.39921e-005
recdev_early(-3)   -0.0992655 -1.31633e-005
recdev_early(-2)   -0.0928501 -1.19358e-005
recdev_early(-1)    -0.109895 -1.10172e-005
recdev_early(0)     0.073142 -8.92263e-006
recdev1(1)      0.20242 4.72493e-006
recdev1(2)   -0.0298773 -2.75855e-007
recdev1(3)    -0.188287 1.19925e-006
recdev1(4)     0.250432 -1.21976e-005
recdev1(5)     0.227944 -1.44137e-005
recdev1(6)   -0.0908507 -7.09567e-006
recdev1(7)     0.174529 -8.8533e-006
recdev1(8)  -0.00679347 -6.21771e-006
recdev1(9)     0.230263 -4.75522e-006
recdev1(10)   0.00672375 -1.2957e-006
recdev1(11)   -0.0545417 1.02811e-006
recdev1(12)    -0.127611  2.4527e-006
recdev1(13)    0.0315287 1.80474e-006
recdev1(14)    -0.133857 2.50407e-006
recdev1(15)     0.107283 9.70209e-008
recdev1(16)      0.08715 8.61658e-007
recdev1(17)    -0.226893 -1.15397e-007
recdev1(18)   -0.0850319 -2.07747e-006
recdev1(19)    -0.252454 -3.97643e-006
recdev1(20)      0.13213 -1.42653e-005
recdev1(21)    0.0887645 -6.70843e-006
recdev1(22)     -0.05703 3.64904e-007
recdev1(23)      -0.2263 3.01766e-006
recdev1(24)     0.124448 1.55666e-007
recdev1(25)    -0.369696 4.82982e-006
recdev1(26)   -0.0672233 5.52352e-006
recdev1(27)     0.104487 1.37275e-005
recdev1(28)     0.150546 1.41587e-005
recdev1(29)   0.00689573 1.24217e-005
recdev1(30)  -0.00909823 1.32831e-005
F_rate[1]   0.00906895 -0.000132691
F_rate[2]     0.026707 -2.30376e-005
F_rate[3]    0.0448542 -3.00224e-005
F_rate[4]    0.0620316 -6.04609e-005
F_rate[5]    0.0489861  0.000143719
F_rate[6]    0.0876222 -7.93367e-007
F_rate[7]    0.0909293 -6.77796e-006
F_rate[8]      0.19139 5.12106e-006
F_rate[9]       0.1126 -2.23289e-005
F_rate[10]      0.13676 -1.71042e-005
F_rate[11]     0.156261 -5.24506e-006
F_rate[12]     0.164159 -8.55642e-006
F_rate[13]     0.117827 4.49464e-006
F_rate[14]     0.172573 4.62304e-006
F_rate[15]     0.182382 3.60203e-005
F_rate[16]      0.16495 -2.8934e-005
F_rate[17]     0.325346 -3.16469e-005
F_rate[18]     0.264458 -7.35427e-006
F_rate[19]     0.263764 3.85256e-005
F_rate[20]     0.265639 4.83437e-006
F_rate[21]     0.365469 -3.23522e-005
F_rate[22]     0.266715 9.97255e-005
F_rate[23]        0.438 -3.77496e-005
F_rate[24]      0.36245 -3.06643e-005
F_rate[25]     0.357539 -1.81549e-006
F_rate[26]     0.330231 2.29449e-005
F_rate[27]     0.322861 -2.14542e-006
F_rate[28]     0.450692 -5.8332e-006
F_rate[29]     0.347766 -1.12543e-005
F_rate[30]     0.525547 6.09361e-006
Q_parm[1]     -7.94281 -2.45532e-008
